Museum ID,Museum Name,Museum Type,Institution Name,City (Administrative Location),State (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Income,Revenue
8402600906,MID-MICHIGAN CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,,SAGINAW,MI,,,,412009.0,391400.0
8402600611,MID-MICHIGAN RAILWAY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,FLINT,MI,,,,0.0,0.0
8402601003,MIDLAND CENTER FOR THE ARTS,GENERAL MUSEUM,,MIDLAND,MI,,,,12809397.0,11630719.0
8402600897,MIDLAND CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,,MIDLAND,MI,1801 W SAINT ANDREWS ROAD,MIDLAND,MI,0.0,0.0
8402600821,MIDLAND EXPERIMENTAL AIRCRAFT ASSOCIATION,HISTORIC PRESERVATION,,MIDLAND,MI,2800 AIRPORT RD,MIDLAND,MI,0.0,0.0
8402601092,MIDLAND GENEALOGICAL SOCIETY,HISTORIC PRESERVATION,,MIDLAND,MI,1710 W ST ANDREWS DR,MIDLAND,MI,0.0,0.0
8402600327,MILAN AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MILAN,MI,,,,0.0,0.0
8402600331,MILFORD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MILFORD,MI,,,,52720.0,52720.0
8402600848,MILLERSBURG AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MILLERSBURG,MI,324 E LUCE STREET,MILLERSBURG,MI,0.0,0.0
8402600764,MILLINGTON-ARBELA HISTORICAL SCOIETY,HISTORIC PRESERVATION,,MILLINGTON,MI,8534 STATE RD,MILLINGTON,MI,0.0,0.0
8402600384,MINERS MEMORIAL HERITAGE PARK,HISTORIC PRESERVATION,,IRONWOOD,MI,,,,0.0,0.0
8402600899,MODEL-T AUTOMOTIVE HERITAGE COMPLEX,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,DETROIT,MI,,,,317801.0,315550.0
8402600448,MONROE COUNTY COUNCIL CIO SOCIAL & WELFARE ASSOCIATION,GENERAL MUSEUM,,MONROE,MI,,,,21396.0,15660.0
8402600455,MONROE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MONROE,MI,126 SOUTH MONROE STREET,MONROE,MI,428949.0,206511.0
8402601048,MONTAGUE MUSEUM AND HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,,MONTAGUE,MI,,,,0.0,0.0
8402600658,MONTMORENCY COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,HILLMAN,MI,M-33 N (MONTMORENCY COUNTY FAIR GROUNDS),ATLANTA,MI,0.0,0.0
8402600565,MONTROSE AREA HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,,MONTROSE,MI,114 EAST HICKORY STREET,MONTROSE,MI,0.0,0.0
8402600402,MONTROSE SPORTS & COMMUNITY HALL OF FAME,GENERAL MUSEUM,,MONTROSE,MI,,,,0.0,0.0
8402600348,MONTROSE VETERANS BELL MEMORIAL PROJFECT,HISTORIC PRESERVATION,,MONTROSE,MI,W VIENNA RD,MONTROSE,MI,0.0,0.0
8402600889,MORENCI AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MORENCI,MI,,,,0.0,0.0
8402600446,MORTON HOUSE MUSEUM,HISTORIC PRESERVATION,,BENTON HARBOR,MI,,,,0.0,0.0
8402600072,MOTORSPORTS MUSEUM AND HALL OF FAME,GENERAL MUSEUM,,NOVI,MI,,,,305850.0,305850.0
8402600653,MOTOWN HISTORICAL MUSEUM,HISTORY MUSEUM,,DETROIT,MI,,,,1449361.0,1089593.0
8402601097,MOVIE MUSEUM,GENERAL MUSEUM,,OWOSSO,MI,,,,0.0,0.0
8402600683,MT PLEASANT AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MT PLEASANT,MI,,,,0.0,0.0
8402600370,MT. PLEASANT DISCOVERY MUSEUM,CHILDREN'S MUSEUM,,MT PLEASANT,MI,5093 E REMUS ROAD,MT PLEASANT,MI,133894.0,133894.0
8402600842,MULTI-LAKES ASSOCIATION FOR CIVIL WAR STUDIES,GENERAL MUSEUM,,ROMULUS,MI,,,,0.0,0.0
8402600481,MUSEUM OF AFRICAN AMERICAN HISTORY,GENERAL MUSEUM,,DETROIT,MI,,,,5901267.0,5477980.0
